============================
Antenna Gain vs. Angle (deg)
============================


Angle (deg) | Gain (db?)
========================
          0 |   1.00E+00
          1 |   9.98E-01
          2 |   9.93E-01
          3 |   9.84E-01
          4 |   9.71E-01
          5 |   9.55E-01
          6 |   9.35E-01
          7 |   9.13E-01
          8 |   8.87E-01
          9 |   8.58E-01
         10 |   8.27E-01
         11 |   7.93E-01
         12 |   7.57E-01
         13 |   7.19E-01
         14 |   6.78E-01
         15 |   6.37E-01
         16 |   5.94E-01
         17 |   5.49E-01
         18 |   5.05E-01
         19 |   4.59E-01
         20 |   4.13E-01
         21 |   3.68E-01
         22 |   3.23E-01
         23 |   2.78E-01
         24 |   2.34E-01
         25 |   1.91E-01
         26 |   1.49E-01
         27 |   1.09E-01
         28 |   7.09E-02
         29 |   3.44E-02
         30 |   2.78E-08
         31 |   3.22E-02
         32 |   6.20E-02
         33 |   8.94E-02
         34 |   1.14E-01
         35 |   1.36E-01
         36 |   1.56E-01
         37 |   1.73E-01
         38 |   1.87E-01
         39 |   1.98E-01
         40 |   2.07E-01
         41 |   2.13E-01
         42 |   2.16E-01
         43 |   2.17E-01
         44 |   2.16E-01
         45 |   2.12E-01
         46 |   2.06E-01
         47 |   1.99E-01
         48 |   1.89E-01
         49 |   1.78E-01
         50 |   1.65E-01
         51 |   1.51E-01
         52 |   1.36E-01
         53 |   1.21E-01
         54 |   1.04E-01
         55 |   8.68E-02
         56 |   6.94E-02
         57 |   5.18E-02
         58 |   3.42E-02
         59 |   1.69E-02
         60 |   2.78E-08
         61 |   1.64E-02
         62 |   3.20E-02
         63 |   4.68E-02
         64 |   6.07E-02
         65 |   7.35E-02
         66 |   8.50E-02
         67 |   9.54E-02
         68 |   1.04E-01
         69 |   1.12E-01
         70 |   1.18E-01
         71 |   1.23E-01
         72 |   1.26E-01
         73 |   1.28E-01
         74 |   1.28E-01
         75 |   1.27E-01
         76 |   1.25E-01
         77 |   1.21E-01
         78 |   1.16E-01
         79 |   1.10E-01
         80 |   1.03E-01
         81 |   9.54E-02
         82 |   8.65E-02
         83 |   7.70E-02
         84 |   6.68E-02
         85 |   5.62E-02
         86 |   4.52E-02
         87 |   3.39E-02
         88 |   2.26E-02
         89 |   1.12E-02
         90 |   2.53E-09
